CP;INSEE;Nom min;Nom Maj
14670;14344;Janville;JANVILLE
14170;14345;Jort;JORT
14250;14346;Juaye-Mondaye;JUAYE-MONDAYE
14260;14347;Dialan sur Chaîne;DIALAN SUR CHAINE
14250;14348;Juvigny-sur-Seulles;JUVIGNY-SUR-SEULLES
14320;14349;Laize-Clinchamps;LAIZE-CLINCHAMPS
14380;14352;Landelles-et-Coupigny;LANDELLES-ET-COUPIGNY
14310;14353;Landes-sur-Ajon;LANDES-SUR-AJON
14830;14354;Langrune-sur-Mer;LANGRUNE-SUR-MER
14480;14355;Ponts sur Seulles;PONTS SUR SEULLES
14770;14357;Terres de Druance;TERRES DE DRUANCE
14340;14358;Léaupartie;LEAUPARTIE
14700;14360;Leffard;LEFFARD
14140;14362;Lessard-et-le-Chêne;LESSARD-ET-LE-CHENE
14250;14364;Lingèvres;LINGEVRES
14780;14365;Lion-sur-Mer;LION-SUR-MER
14100;14366;Lisieux;LISIEUX
14330;14367;Lison;LISON
14140;14368;Lisores;LISORES
14490;14369;Litteau;LITTEAU
14330;14370;Le Molay-Littry;LE MOLAY LITTRY
14140;14371;Livarot-Pays-d'Auge;LIVAROT-PAYS-D'AUGE
14290;14371;Livarot-Pays-d'Auge;LIVAROT-PAYS-D'AUGE
14240;14374;Les Loges;LES LOGES
14700;14375;Les Loges-Saulces;LES LOGES SAULCES
14400;14377;Longues-sur-Mer;LONGUES-SUR-MER
14230;14378;Longueville;LONGUEVILLE
14310;14379;Longvillers;LONGVILLERS
14250;14380;Loucelles;LOUCELLES
14170;14381;Louvagny;LOUVAGNY
14111;14383;Louvigny;LOUVIGNY
14530;14384;Luc-sur-Mer;LUC-SUR-MER
14400;14385;Magny-en-Bessin;MAGNY EN BESSIN
14310;14389;Maisoncelles-Pelvey;MAISONCELLES-PELVEY
14210;14390;Maisoncelles-sur-Ajon;MAISONCELLES-SUR-AJON
14400;14391;Maisons;MAISONS
14210;14393;Maizet;MAIZET
14190;14394;Maizières;MAIZIERES
14930;14396;Maltot;MALTOT
14710;14397;Mandeville-en-Bessin;MANDEVILLE-EN-BESSIN
14340;14398;Manerbe;MANERBE
14130;14399;Manneville-la-Pipard;MANNEVILLE LA PIPARD
14400;14400;Le Manoir;LE MANOIR
14117;14401;Manvieux;MANVIEUX
14620;14402;Le Marais-la-Chapelle;MARAIS-LA-CHAPELLE (LE)
14100;14403;Marolles;MAROLLES
14220;14404;Martainville;MARTAINVILLE
14700;14405;Martigny-sur-l'Ante;MARTIGNY-SUR-L ANTE
14740;14406;Moulins en Bessin;MOULINS EN BESSIN
14480;14406;Moulins en Bessin;MOULINS EN BESSIN
14920;14407;Mathieu;MATHIEU
14320;14408;May-sur-Orne;MAY-SUR-ORNE
14810;14409;Merville-Franceville-Plage;MERVILLE FRANCEVILLE
14370;14410;Méry-Bissières-en-Auge;MERY-BISSIERES-EN-AUGE
14220;14411;Meslay;MESLAY
14260;14412;Le Mesnil-au-Grain;MESNIL-AU-GRAIN (LE)
